GARE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
St-Mariens-St-Yzan;547000;1;007+825;51e997b6-6665-11e3-afff-01f464e0362d;427238.5499000028;6456566.7544;-0.47215300560168;45.1544159749278;45.1544159749278, -0.47215300560168;45.15441597490865, -0.4721530056016824;"{""coordinates"": [-0.472153005601682, 45.15441597490865], ""type"": ""Point""}"
Mirebeau-sur-Bèze;838000;2;329+060;cef85848-dfb5-11e3-8eff-01a464e0362d;875729.7666999996;6703108.7291;5.330452604794441;47.40498316907165;47.40498316907165, 5.3304526047944405;47.40498316905902, 5.330452604794442;"{""coordinates"": [5.330452604794442, 47.40498316905902], ""type"": ""Point""}"
Clermont-Ferrand;784000;1;003+974;cef1e9a8-dfb5-11e3-8eff-01a464e0362d;711375.4302999973;6521470.4518;3.146431411879435;45.79276119587239;45.79276119587239, 3.1464314118794348;45.79276119585505, 3.1464314118794348;"{""coordinates"": [3.146431411879435, 45.79276119585505], ""type"": ""Point""}"
;867616;1;000+137;51edb67c-6665-11e3-afff-01f464e0362d;841744.5187999979;6636091.262499999;4.859023225706777;46.809948869676276;46.809948869676276, 4.859023225706777;46.809948869661895, 4.859023225706779;"{""coordinates"": [4.859023225706779, 46.809948869661895], ""type"": ""Point""}"
St-Julien (Côtes-d'Armor);475606;1;481+880;51eaf48a-6665-11e3-afff-01f464e0362d;272554.2013999969;6833749.5143;-2.78710366956967;48.462978131501394;48.462978131501394, -2.78710366956967;48.46297813147731, -2.787103669569675;"{""coordinates"": [-2.787103669569675, 48.46297813147731], ""type"": ""Point""}"
Montluçon-Eau;695606;1;001+590;51e7f368-6665-11e3-afff-01f464e0362d;669695.4540999979;6584433.1087;2.605858784858038;46.359145372636334;46.359145372636334, 2.6058587848580377;46.35914537262064, 2.6058587848580372;"{""coordinates"": [2.605858784858037, 46.35914537262064], ""type"": ""Point""}"
Châtillon-sur-Seine;840000;1;042+220;14dedb68-a761-11eb-97ff-01a0b2273146;817887.565899998;6754428.1395;4.577218270484086;47.87965091772741;47.87965091772741, 4.577218270484086;47.879650917716155, 4.577218270484087;"{""coordinates"": [4.577218270484087, 47.879650917716155], ""type"": ""Point""}"
Mulhouse-Nord;125000;1;007+300;51e7b9b8-6665-11e3-afff-01f464e0362d;1026815.0719999969;6749107.7863;7.364652239656463;47.7610513635018;47.7610513635018, 7.364652239656463;47.76105136349022, 7.364652239656466;"{""coordinates"": [7.364652239656466, 47.76105136349022], ""type"": ""Point""}"
Montoire-sur-le-Loir;559000;1;012+777;51e9a26c-6665-11e3-afff-01f464e0362d;539458.1024999991;6742316.835700002;0.856749807577401;47.76163463883846;47.76163463883846, 0.856749807577401;47.76163463882687, 0.8567498075773994;"{""coordinates"": [0.856749807577399, 47.76163463882687], ""type"": ""Point""}"
Espondeilhan;722000;1;446+980;cef43768-dfb5-11e3-8eff-01a464e0362d;720195.6952000037;6260651.633299999;3.249367708169869;43.44468168228993;43.44468168228993, 3.2493677081698693;43.444681682266314, 3.2493677081698693;"{""coordinates"": [3.249367708169869, 43.444681682266314], ""type"": ""Point""}"
Port-St-Louis-du-Rhône;935907;1;023+815;cef428f2-dfb5-11e3-8eff-01a464e0362d;847500.5304000005;6256252.1116;4.819704475795853;43.39009748121549;43.39009748121549, 4.819704475795853;43.39009748119173, 4.819704475795854;"{""coordinates"": [4.819704475795854, 43.39009748119173], ""type"": ""Point""}"
Donges;515000;1;481+721;51eb99ba-6665-11e3-afff-01f464e0362d;316395.01299999654;6702306.806899998;-2.080972295290776;47.309968296365895;47.309968296365895, -2.080972295290776;47.30996829635298, -2.080972295290779;"{""coordinates"": [-2.080972295290779, 47.30996829635298], ""type"": ""Point""}"
Calais-Fréthun;314000;1;290+766;51eda100-6665-11e3-afff-01f464e0362d;618021.4514999986;7092983.743799999;1.83638461356115;50.92748074113395;50.92748074113395, 1.8363846135611503;50.92748074112154, 1.8363846135611492;"{""coordinates"": [1.836384613561149, 50.92748074112154], ""type"": ""Point""}"
Vernon-Giverny;340000;1;080+884;51f02482-6665-11e3-afff-01f464e0362d;588199.0170999989;6889719.8576;1.469105032078425;49.09755295753484;49.09755295753484, 1.4691050320784251;49.09755295751398, 1.469105032078424;"{""coordinates"": [1.469105032078424, 49.09755295751398], ""type"": ""Point""}"
Survilliers-Fosses;272000;1;029+565;51ef6af6-6665-11e3-afff-01f464e0362d;665351.1030000001;6888936.8869;2.52556206135498;49.09932195796354;49.09932195796354, 2.52556206135498;49.0993219579427, 2.5255620613549796;"{""coordinates"": [2.52556206135498, 49.0993219579427], ""type"": ""Point""}"
Le Plessis-Belleville;229000;1;041+914;51e9ad38-6665-11e3-afff-01f464e0362d;681240.8796999976;6888329.1831;2.743161340268594;49.09451958945809;49.09451958945809, 2.743161340268594;49.09451958943723, 2.743161340268594;"{""coordinates"": [2.743161340268594, 49.09451958943723], ""type"": ""Point""}"
Grandpuits-Bagneux;001000;1;063+750;51df2106-6665-11e3-afff-01f464e0362d;696771.6893000007;6832583.5306;2.956222891312811;48.59344959467761;48.59344959467761, 2.956222891312811;48.593449594654196, 2.956222891312811;"{""coordinates"": [2.956222891312811, 48.593449594654196], ""type"": ""Point""}"
Jessains;001000;1;210+470;a4a9dcaa-9243-11e3-94ff-010c64e0362d;817805.009300001;6799116.818999998;4.588137532602017;48.281721521445405;48.281721521445405, 4.588137532602017;48.28172152143534, 4.588137532602019;"{""coordinates"": [4.588137532602019, 48.28172152143534], ""type"": ""Point""}"
St-Cyr;420000;1;021+703;cefa513c-dfb5-11e3-8eff-01a464e0362d;631650.1840000004;6855742.466400001;2.069492819590706;48.79813766759771;48.79813766759771, 2.0694928195907063;48.798137667575354, 2.0694928195907054;"{""coordinates"": [2.069492819590705, 48.798137667575354], ""type"": ""Point""}"
Aubigny-sur-Nère;682000;1;081+231;51e72750-6665-11e3-afff-01f464e0362d;656438.5605999976;6712039.230700001;2.421281229953908;47.50728166593847;47.50728166593847, 2.4212812299539084;47.507281665926136, 2.421281229953908;"{""coordinates"": [2.421281229953908, 47.507281665926136], ""type"": ""Point""}"
Le Theil-La Rouge;420000;1;160+543;51e80696-6665-11e3-afff-01f464e0362d;527885.0606999993;6797726.726199999;0.68061157029442;48.25712830455212;48.25712830455212, 0.6806115702944203;48.257128304541965, 0.6806115702944183;"{""coordinates"": [0.680611570294418, 48.257128304541965], ""type"": ""Point""}"
Obernai;111000;1;025+646;51e671fe-6665-11e3-afff-01f464e0362d;1032074.8137999997;6828271.083299998;7.49486626288973;48.46961823071932;48.46961823071932, 7.49486626288973;48.469618230695275, 7.494866262889732;"{""coordinates"": [7.494866262889732, 48.469618230695275], ""type"": ""Point""}"
Argenton-sur-Creuse;598000;1;383+820;51ea2c7c-6665-11e3-afff-01f464e0362d;584972.3351999968;6613215.311900001;1.49699189542307;46.6091382537609;46.6091382537609, 1.49699189542307;46.60913825374592, 1.4969918954230688;"{""coordinates"": [1.496991895423069, 46.60913825374592], ""type"": ""Point""}"
Fourchambault;750000;1;244+210;51e36bf0-6665-11e3-afff-01f464e0362d;706476.4030999988;6660061.177099999;3.085295343293447;47.040756454251316;47.040756454251316, 3.0852953432934473;47.04075645423762, 3.0852953432934473;"{""coordinates"": [3.085295343293447, 47.04075645423762], ""type"": ""Point""}"
Connantre;010000;1;039+770;51e6ed1a-6665-11e3-afff-01f464e0362d;767299.2659000009;6848075.820300002;3.914997001626017;48.72929936903062;48.72929936903062, 3.914997001626017;48.72929936900791, 3.914997001626018;"{""coordinates"": [3.914997001626018, 48.72929936900791], ""type"": ""Point""}"
Orléans;570000;2;123+333;51e246ac-6665-11e3-afff-01f464e0362d;616827.4755000025;6757682.8345;1.886546071110244;47.914260741494516;47.914260741494516, 1.8865460711102444;47.91426074148337, 1.8865460711102435;"{""coordinates"": [1.886546071110244, 47.91426074148337], ""type"": ""Point""}"
St-Just-St-Rambert;796000;1;001+704;cef4ee8a-dfb5-11e3-8eff-01a464e0362d;798703.6678000018;6490743.799199998;4.264133956095336;45.50905382489845;45.50905382489845, 4.2641339560953355;45.5090538248803, 4.264133956095337;"{""coordinates"": [4.264133956095337, 45.5090538248803], ""type"": ""Point""}"
Corbigny;762000;1;263+193;51e5ed0e-6665-11e3-afff-01f464e0362d;751460.6388000026;6679968.817699999;3.679986808166032;47.218021369897144;47.218021369897144, 3.679986808166032;47.21802136988396, 3.6799868081660327;"{""coordinates"": [3.679986808166033, 47.21802136988396], ""type"": ""Point""}"
Tourcoing;268000;1;274+400;51dfcf2c-6665-11e3-afff-01f464e0362d;713138.8219000027;7068526.779599998;3.185691077484299;50.713339971675246;50.713339971675246, 3.185691077484299;50.71333997166192, 3.185691077484299;"{""coordinates"": [3.185691077484299, 50.71333997166192], ""type"": ""Point""}"
Paris-Est;001000;1;002+100;51e975aa-6665-11e3-afff-01f464e0362d;653995.3180999979;6866403.899799999;2.37252787618487;48.89599695440917;48.89599695440917, 2.37252787618487;48.89599695438731, 2.3725278761848694;"{""coordinates"": [2.372527876184869, 48.89599695438731], ""type"": ""Point""}"
Pithiviers;684000;1;096+000;51e231d8-6665-11e3-afff-01f464e0362d;642430.0786999986;6784520.8423000015;2.225745745249958;48.15851027122831;48.15851027122831, 2.225745745249958;48.15851027121788, 2.225745745249957;"{""coordinates"": [2.225745745249957, 48.15851027121788], ""type"": ""Point""}"
Rion-des-Landes;655000;1;121+798;51ed0200-6665-11e3-afff-01f464e0362d;385521.94860000163;6321246.622499999;-0.916981375937628;43.920010179385095;43.920010179385095, -0.9169813759376277;43.92001017936264, -0.9169813759376308;"{""coordinates"": [-0.916981375937631, 43.92001017936264], ""type"": ""Point""}"
Albi-Madeleine;736000;1;417+341;51e1e9b6-6665-11e3-afff-01f464e0362d;631662.0540999994;6317850.628699999;2.148607315015824;43.956342600976406;43.956342600976406, 2.148607315015824;43.956342600954045, 2.148607315015823;"{""coordinates"": [2.148607315015823, 43.956342600954045], ""type"": ""Point""}"
Rodez;725000;1;619+635;51e8ee90-6665-11e3-afff-01f464e0362d;671036.6279999986;6363125.394000001;2.636550176057481;44.3665627241965;44.3665627241965, 2.636550176057481;44.36656272417519, 2.6365501760574808;"{""coordinates"": [2.636550176057481, 44.36656272417519], ""type"": ""Point""}"
;867616;1;000+295;51ed3cfe-6665-11e3-afff-01f464e0362d;841848.2277999967;6636207.6488999985;4.860418855795813;46.81097451922057;46.81097451922057, 4.860418855795813;46.81097451920619, 4.860418855795814;"{""coordinates"": [4.860418855795814, 46.81097451920619], ""type"": ""Point""}"
;682000;1;133+819;51e17ce8-6665-11e3-afff-01f464e0362d;653812.1177999973;6667171.412900001;2.390987228928169;47.10319902858953;47.10319902858953, 2.3909872289281693;47.103199028576014, 2.390987228928169;"{""coordinates"": [2.390987228928169, 47.103199028576014], ""type"": ""Point""}"
Brive-la-Gaillarde;613000;1;499+800;51e64b48-6665-11e3-afff-01f464e0362d;581138.5236999989;6451639.5372;1.487348660702961;45.15380535453935;45.15380535453935, 1.4873486607029605;45.15380535452021, 1.4873486607029596;"{""coordinates"": [1.48734866070296, 45.15380535452021], ""type"": ""Point""}"
Laval-de-Cère;719000;1;663+146;51ea7048-6665-11e3-afff-01f464e0362d;615667.2533000037;6428519.804499999;1.930686357080732;44.95074797449426;44.95074797449426, 1.930686357080732;44.950747974474545, 1.930686357080731;"{""coordinates"": [1.930686357080731, 44.950747974474545], ""type"": ""Point""}"
St-Julien-L'Ars;601000;1;360+330;51dfba26-6665-11e3-afff-01f464e0362d;512714.6802000031;6609853.505600002;0.554685147296785;46.56261101099652;46.56261101099652, 0.5546851472967846;46.56261101098141, 0.5546851472967831;"{""coordinates"": [0.554685147296783, 46.56261101098141], ""type"": ""Point""}"
St-Ouen-du-Breuil;354000;1;024+765;cef545a2-dfb5-11e3-8eff-01a464e0362d;556065.2577000037;6950918.535700001;1.00812584476539;49.64106914967586;49.64106914967586, 1.0081258447653896;49.64106914965766, 1.008125844765388;"{""coordinates"": [1.008125844765388, 49.64106914965766], ""type"": ""Point""}"
Pontailler-sur-Saône;851000;1;020+962;cef92d94-dfb5-11e3-8eff-01a464e0362d;881718.5335000008;6692966.451099999;5.405728062113451;47.31210508248102;47.31210508248102, 5.405728062113451;47.312105082468115, 5.405728062113454;"{""coordinates"": [5.405728062113454, 47.312105082468115], ""type"": ""Point""}"
Le Bourget;992300;1;000+980;51e004f0-6665-11e3-afff-01f464e0362d;656638.2885999978;6870718.5524;2.408133684295541;48.93497979879509;48.93497979879509, 2.408133684295541;48.93497979877343, 2.40813368429554;"{""coordinates"": [2.40813368429554, 48.93497979877343], ""type"": ""Point""}"
Jarrie-Vizille;905000;1;143+283;51dfa8e4-6665-11e3-afff-01f464e0362d;915207.952200003;6446949.709800001;5.735943606024405;45.08825593257887;45.08825593257887, 5.735943606024405;45.08825593255954, 5.7359436060244064;"{""coordinates"": [5.735943606024406, 45.08825593255954], ""type"": ""Point""}"
Le Luc-et-Le Cannet;930000;1;117+276;51e8b53a-6665-11e3-afff-01f464e0362d;968889.2745999992;6258280.548700001;6.316956545226649;43.37282192746515;43.37282192746515, 6.316956545226649;43.372821927441336, 6.316956545226651;"{""coordinates"": [6.316956545226651, 43.372821927441336], ""type"": ""Point""}"
Moulins-sur-Allier;770606;1;002+518;51e43d72-6665-11e3-afff-01f464e0362d;727327.7544;6604900.094700001;3.356627825045086;46.54356704519787;46.54356704519787, 3.3566278250450856;46.54356704518271, 3.356627825045086;"{""coordinates"": [3.356627825045086, 46.54356704518271], ""type"": ""Point""}"
La Basse-Indre-St-Herblain;515000;1;442+515;51e60b26-6665-11e3-afff-01f464e0362d;345502.7066999972;6689598.797800001;-1.686397079829898;47.211978929188945;47.211978929188945, -1.6863970798298982;47.211978929175736, -1.6863970798299013;"{""coordinates"": [-1.686397079829901, 47.211978929175736], ""type"": ""Point""}"
Argent;682000;1;074+110;51f283e0-6665-11e3-afff-01f464e0362d;657786.2876999974;6718043.382399999;2.438618244466109;47.56141389628027;47.56141389628027, 2.438618244466109;47.56141389626811, 2.4386182444661086;"{""coordinates"": [2.438618244466109, 47.56141389626811], ""type"": ""Point""}"
Nuits-sous-Ravières;839000;1;001+055;cefa07f0-dfb5-11e3-8eff-01a464e0362d;791274.0781999975;6738057.830200002;4.217843502026685;47.736577556545754;47.736577556545754, 4.2178435020266845;47.736577556534094, 4.217843502026686;"{""coordinates"": [4.217843502026686, 47.736577556534094], ""type"": ""Point""}"
Vivy;500000;1;277+860;51eb10fc-6665-11e3-afff-01f464e0362d;468732.38390000165;6696949.530000001;-0.063153905171688;47.33249700793265;47.33249700793265, -0.06315390517168805;47.332497007919805, -0.06315390517169082;"{""coordinates"": [-0.063153905171691, 47.332497007919805], ""type"": ""Point""}"
Mailly-le-Camp;006000;2;033+944;51eace1a-6665-11e3-afff-01f464e0362d;786281.4481000006;6842031.123599999;4.171824382243591;48.67267939745862;48.67267939745862, 4.1718243822435905;48.67267939743562, 4.171824382243591;"{""coordinates"": [4.171824382243591, 48.67267939743562], ""type"": ""Point""}"
Flies;891000;1;163+235;51e7a33e-6665-11e3-afff-01f464e0362d;932900.9677999988;6577992.9399;6.024447653245134;46.26166540728129;46.26166540728129, 6.024447653245134;46.26166540726531, 6.024447653245136;"{""coordinates"": [6.024447653245136, 46.26166540726531], ""type"": ""Point""}"
Lucé;556000;1;001+947;51e27f56-6665-11e3-afff-01f464e0362d;586767.2890999988;6816589.431600001;1.468919497994335;48.43970219316884;48.43970219316884, 1.4689194979943347;48.43970219314463, 1.4689194979943336;"{""coordinates"": [1.468919497994334, 48.43970219314463], ""type"": ""Point""}"
Chambéry-Challes-les-Eaux;903000;1;102+934;51e1972e-6665-11e3-afff-01f464e0362d;925752.3288000003;6502344.079100002;5.895692076130991;45.58334776252249;45.58334776252249, 5.895692076130991;45.583347762504545, 5.895692076130993;"{""coordinates"": [5.895692076130993, 45.583347762504545], ""type"": ""Point""}"
;883000;1;000+981;51f24216-6665-11e3-afff-01f464e0362d;839964.1068999991;6578838.081300002;4.818392054183152;46.294932235210474;46.294932235210474, 4.818392054183152;46.29493223519457, 4.818392054183154;"{""coordinates"": [4.818392054183154, 46.29493223519457], ""type"": ""Point""}"
Mazières-Verruyes;500000;1;387+250;51e86dcc-6665-11e3-afff-01f464e0362d;445851.8453999981;6607680.672899999;-0.316235585107342;46.52109821962718;46.52109821962718, -0.3162355851073417;46.521098219611964, -0.3162355851073449;"{""coordinates"": [-0.316235585107345, 46.521098219611964], ""type"": ""Point""}"
Bretoncelles;420000;1;133+425;cef5fe4e-dfb5-11e3-8eff-01a464e0362d;544936.7621999979;6816864.342;0.903437678909287;48.43353107180044;48.43353107180044, 0.9034376789092871;48.43353107177619, 0.9034376789092854;"{""coordinates"": [0.903437678909285, 48.43353107177619], ""type"": ""Point""}"
Guérigny;754000;1;285+630;51e28cc4-6665-11e3-afff-01f464e0362d;715663.485799998;6665892.0282999985;3.206491232223002;47.09309982715004;47.09309982715004, 3.2064912322230024;47.093099827136484, 3.2064912322230024;"{""coordinates"": [3.206491232223002, 47.093099827136484], ""type"": ""Point""}"
Dunkerque;300000;1;305+653;51e6471e-6665-11e3-afff-01f464e0362d;657243.5221000016;7103082.9684999995;2.39197251990711;51.02200796766636;51.02200796766636, 2.3919725199071102;51.02200796765434, 2.39197251990711;"{""coordinates"": [2.39197251990711, 51.02200796765434], ""type"": ""Point""}"
Cerdon-du-Loiret;682000;1;063+000;51f2732a-6665-11e3-afff-01f464e0362d;651893.7044999972;6726263.856800001;2.359371667201836;47.63500188811376;47.63500188811376, 2.359371667201836;47.63500188810182, 2.359371667201835;"{""coordinates"": [2.359371667201835, 47.63500188810182], ""type"": ""Point""}"
Veauche-St-Galmier;750670;1;000+736;51eef8be-6665-11e3-afff-01f464e0362d;801588.1556999981;6495596.525199998;4.302094824799004;45.552323370184;45.552323370184, 4.302094824799004;45.55232337016596, 4.302094824799004;"{""coordinates"": [4.302094824799004, 45.55232337016596], ""type"": ""Point""}"
Marmande;642000;1;080+216;51e79d84-6665-11e3-afff-01f464e0362d;473728.00180000067;6382951.5154;0.152842645768443;44.50890976004299;44.50890976004299, 0.1528426457684427;44.508909760022064, 0.15284264576843992;"{""coordinates"": [0.15284264576844, 44.508909760022064], ""type"": ""Point""}"
Fouquereuil;289000;1;046+131;51e80182-6665-11e3-afff-01f464e0362d;669486.4143999964;7048038.983899999;2.570330301513316;50.52886726706598;50.52886726706598, 2.570330301513316;50.52886726705186, 2.570330301513316;"{""coordinates"": [2.570330301513316, 50.52886726705186], ""type"": ""Point""}"
Château-Gontier;460000;1;288+195;cef259c0-dfb5-11e3-8eff-01a464e0362d;424211.9479999989;6755539.747699998;-0.688270995318724;47.842273745237485;47.842273745237485, -0.6882709953187238;47.84227374522613, -0.6882709953187262;"{""coordinates"": [-0.688270995318726, 47.84227374522613], ""type"": ""Point""}"
Rivesaltes;677000;1;452+833;51e0d688-6665-11e3-afff-01f464e0362d;692682.6032999977;6190128.767999999;2.910633215385742;42.81062191719796;42.81062191719796, 2.9106332153857424;42.810621917172874, 2.910633215385742;"{""coordinates"": [2.910633215385742, 42.810621917172874], ""type"": ""Point""}"
Polisot;838000;1;204+420;51ed6ac6-6665-11e3-afff-01f464e0362d;803239.5367000028;6775021.416700002;4.386121173230762;48.06741590945464;48.06741590945464, 4.386121173230762;48.06741590944395, 4.386121173230763;"{""coordinates"": [4.386121173230763, 48.06741590944395], ""type"": ""Point""}"
;905000;1;091+238;51e24192-6665-11e3-afff-01f464e0362d;892470.311999999;6474556.1011000015;5.457997734451553;45.34342814564014;45.34342814564014, 5.457997734451553;45.34342814562151, 5.4579977344515545;"{""coordinates"": [5.457997734451554, 45.34342814562151], ""type"": ""Point""}"
Ancerville-Guë;020000;1;239+726;51e82140-6665-11e3-afff-01f464e0362d;848152.5788000003;6837067.135499999;5.010118716819861;48.61682498985843;48.61682498985843, 5.010118716819861;48.61682498983514, 5.010118716819862;"{""coordinates"": [5.010118716819862, 48.61682498983514], ""type"": ""Point""}"
Épône-Mézières;340000;1;053+701;51e1ad1e-6665-11e3-afff-01f464e0362d;607880.9078999981;6875216.598299999;1.741723611613218;48.9702892153724;48.9702892153724, 1.7417236116132178;48.97028921535091, 1.7417236116132164;"{""coordinates"": [1.741723611613216, 48.97028921535091], ""type"": ""Point""}"
;598000;1;300+737;51e2b7b4-6665-11e3-afff-01f464e0362d;531797.1724999994;6649484.770100001;0.789217734172006;46.92436245110448;46.92436245110448, 0.789217734172006;46.924362451090424, 0.7892177341720045;"{""coordinates"": [0.789217734172004, 46.924362451090424], ""type"": ""Point""}"
Saillat-Chassenon;610000;2;446+244;51e5fac2-6665-11e3-afff-01f464e0362d;530669.3339999989;6532727.140999999;0.816819976374228;45.873141139907396;45.873141139907396, 0.8168199763742277;45.87314113989029, 0.8168199763742261;"{""coordinates"": [0.816819976374226, 45.87314113989029], ""type"": ""Point""}"
Montières;305000;1;007+643;51ea1bd0-6665-11e3-afff-01f464e0362d;648789.0724999979;6981690.110800002;2.287330449943244;49.931769251907255;49.931769251907255, 2.2873304499432443;49.93176925189043, 2.2873304499432434;"{""coordinates"": [2.287330449943243, 49.93176925189043], ""type"": ""Point""}"
Connantre;010000;1;041+940;51e752ae-6665-11e3-afff-01f464e0362d;765142.7092999965;6847845.765999999;3.885644000110646;48.72745149592223;48.72745149592223, 3.8856440001106463;48.72745149589952, 3.885644000110647;"{""coordinates"": [3.885644000110647, 48.72745149589952], ""type"": ""Point""}"
Varangéville-St-Nicolas;070000;1;360+495;51e71a12-6665-11e3-afff-01f464e0362d;939671.2308000028;6842785.371399999;6.253893388121631;48.64079817379001;48.64079817379001, 6.2538933881216305;48.640798173766846, 6.253893388121633;"{""coordinates"": [6.253893388121633, 48.640798173766846], ""type"": ""Point""}"
Champagnole;878000;1;000+242;14df01ae-a761-11eb-97ff-01a0b2273146;922306.3321999982;6643777.124899998;5.91855354559693;46.85717996317299;46.85717996317299, 5.91855354559693;46.85717996315875, 5.918553545596932;"{""coordinates"": [5.918553545596932, 46.85717996315875], ""type"": ""Point""}"
Vendargues;814000;1;743+236;cef3e93c-dfb5-11e3-8eff-01a464e0362d;777961.9463;6285266.267099999;3.966314944452471;43.66214276649652;43.66214276649652, 3.966314944452471;43.66214276647342, 3.966314944452472;"{""coordinates"": [3.966314944452472, 43.66214276647342], ""type"": ""Point""}"
Tournan;002000;1;042+180;51e7ebe4-6665-11e3-afff-01f464e0362d;683617.1595999971;6848329.928800002;2.777240705255055;48.734884113213695;48.734884113213695, 2.7772407052550547;48.734884113191015, 2.7772407052550543;"{""coordinates"": [2.777240705255054, 48.734884113191015], ""type"": ""Point""}"
Villiers-St-Georges;003000;1;108+605;51e7cde6-6665-11e3-afff-01f464e0362d;730027.6431000009;6836760.9668000005;3.407474896635529;48.630337211075734;48.630337211075734, 3.4074748966355286;48.63033721105253, 3.407474896635529;"{""coordinates"": [3.407474896635529, 48.63033721105253], ""type"": ""Point""}"
Castelsarrasin;649000;1;194+965;51e702a6-6665-11e3-afff-01f464e0362d;549667.8523000032;6322762.592;1.125903924321201;43.98780855405143;43.98780855405143, 1.1259039243212008;43.98780855402916, 1.1259039243211995;"{""coordinates"": [1.125903924321199, 43.98780855402916], ""type"": ""Point""}"
Mont-de-Marsan;642000;1;172+987;51e08f36-6665-11e3-afff-01f464e0362d;421468.5816999972;6317425.243500002;-0.46777200210208;43.90077913429925;43.90077913429925, -0.46777200210208025;43.90077913427675, -0.46777200210208264;"{""coordinates"": [-0.467772002102083, 43.90077913427675], ""type"": ""Point""}"
Elbeuf-St-Aubin;372000;1;054+131;51eb2016-6665-11e3-afff-01f464e0362d;559490.8888000026;6914553.032400001;1.067824839096099;49.31509596933582;49.31509596933582, 1.0678248390960985;49.31509596931605, 1.0678248390960965;"{""coordinates"": [1.067824839096096, 49.31509596931605], ""type"": ""Point""}"
Méru;325000;1;051+542;51f1aba6-6665-11e3-afff-01f464e0362d;637098.3145999983;6902650.907400001;2.136675140078794;49.22046378091876;49.22046378091876, 2.1366751400787938;49.22046378089851, 2.1366751400787924;"{""coordinates"": [2.136675140078792, 49.22046378089851], ""type"": ""Point""}"
Gandrange-Amnéville;085000;1;340+904;51f191a0-6665-11e3-afff-01f464e0362d;927100.6401999965;6911053.989;6.120012616197981;49.258758009079735;49.258758009079735, 6.120012616197981;49.258758009059676, 6.120012616197983;"{""coordinates"": [6.120012616197983, 49.258758009059676], ""type"": ""Point""}"
Changis-St-Jean;070000;1;059+174;51e85d4a-6665-11e3-afff-01f464e0362d;703341.3520999998;6873266.2366;3.045628778615597;48.95934244495477;48.95934244495477, 3.045628778615597;48.95934244493324, 3.045628778615597;"{""coordinates"": [3.045628778615597, 48.95934244493324], ""type"": ""Point""}"
Le Teil;800000;1;668+389;51e73a66-6665-11e3-afff-01f464e0362d;834380.9020000026;6382548.2842000015;4.691266869322489;44.52905121262343;44.52905121262343, 4.691266869322489;44.52905121260255, 4.691266869322491;"{""coordinates"": [4.691266869322491, 44.52905121260255], ""type"": ""Point""}"
Persan-Beaumont;329000;1;045+400;51f22efc-6665-11e3-afff-01f464e0362d;646828.4813999981;6894219.399900001;2.271281204878109;49.14554672734807;49.14554672734807, 2.271281204878109;49.14554672732747, 2.2712812048781084;"{""coordinates"": [2.271281204878108, 49.14554672732747], ""type"": ""Point""}"
Bayard;020000;1;249+520;51df2ebe-6665-11e3-afff-01f464e0362d;853460.8686000034;6829737.957899999;5.079490073832891;48.549682433839195;48.549682433839195, 5.079490073832891;48.54968243381556, 5.0794900738328925;"{""coordinates"": [5.079490073832893, 48.54968243381556], ""type"": ""Point""}"
La Bourboule;710000;1;453+372;51e6305c-6665-11e3-afff-01f464e0362d;682053.8819999993;6498988.896000002;2.769830683297957;45.59017780108573;45.59017780108573, 2.769830683297957;45.59017780106781, 2.7698306832979567;"{""coordinates"": [2.769830683297957, 45.59017780106781], ""type"": ""Point""}"
Trets;947000;1;059+568;51e1bc36-6665-11e3-afff-01f464e0362d;917121.0494000018;6264895.801800001;5.681674682882631;43.449979258634976;43.449979258634976, 5.681674682882631;43.44997925861135, 5.681674682882632;"{""coordinates"": [5.681674682882632, 43.44997925861135], ""type"": ""Point""}"
;254610;1;003+370;cefa4608-dfb5-11e3-8eff-01a464e0362d;732630.3911999986;7026075.8972;3.457683773223533;50.331603224391436;50.331603224391436, 3.457683773223533;50.331603224376416, 3.4576837732235335;"{""coordinates"": [3.457683773223533, 50.331603224376416], ""type"": ""Point""}"
Fos-Viguerat;935902;1;010+289;51e8a55a-6665-11e3-afff-01f464e0362d;849301.3549999967;6265317.921300001;4.844525265808905;43.471260676227686;43.471260676227686, 4.844525265808905;43.471260676204125, 4.8445252658089055;"{""coordinates"": [4.844525265808906, 43.471260676204125], ""type"": ""Point""}"
Armentières;295000;1;019+363;cef88138-dfb5-11e3-8eff-01a464e0362d;692074.0415000021;7064713.337000001;2.888058637303119;50.67920851421935;50.67920851421935, 2.8880586373031187;50.67920851420586, 2.8880586373031187;"{""coordinates"": [2.888058637303119, 50.67920851420586], ""type"": ""Point""}"
Montières;305000;1;004+920;51eddbb8-6665-11e3-afff-01f464e0362d;647159.0736000016;6979652.997200001;2.264911998667801;49.91333650896723;49.91333650896723, 2.264911998667801;49.91333650895031, 2.2649119986678;"{""coordinates"": [2.2649119986678, 49.91333650895031], ""type"": ""Point""}"
Neuvy-Pailloux;590000;2;249+850;51dfa57a-6665-11e3-afff-01f464e0362d;613151.2179000005;6642922.3411;1.859525837647789;46.880831430786905;46.880831430786905, 1.859525837647789;46.88083143077272, 1.8595258376477883;"{""coordinates"": [1.859525837647788, 46.88083143077272], ""type"": ""Point""}"
