GARE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
Chambéry-Challes-les-Eaux;903606;1;001+330;cef2027a-dfb5-11e3-8eff-01a464e0362d;925208.8646000028;6503384.178599998;5.889215300269541;45.59288655139236;45.59288655139236, 5.889215300269541;45.592886551374455, 5.889215300269543;"{""coordinates"": [5.889215300269543, 45.592886551374455], ""type"": ""Point""}"
Vendargues;814000;1;745+115;cef3ebda-dfb5-11e3-8eff-01a464e0362d;776940.7242999971;6283711.431600001;3.953425759236442;43.64826512535979;43.64826512535979, 3.9534257592364415;43.64826512533665, 3.9534257592364423;"{""coordinates"": [3.953425759236442, 43.64826512533665], ""type"": ""Point""}"
Richwiller;115000;1;097+914;51eadd36-6665-11e3-afff-01f464e0362d;1018977.0147999972;6752410.923;7.262558756848052;47.79458808878967;47.79458808878967, 7.262558756848052;47.794588088778184, 7.262558756848056;"{""coordinates"": [7.262558756848056, 47.794588088778184], ""type"": ""Point""}"
;851000;1;017+634;51f076aa-6665-11e3-afff-01f464e0362d;883704.7708000019;6695613.269699998;5.433086208735396;47.33537359815876;47.33537359815876, 5.4330862087353955;47.33537359814593, 5.433086208735398;"{""coordinates"": [5.433086208735398, 47.33537359814593], ""type"": ""Point""}"
Cruas;800000;1;656+154;51e873ae-6665-11e3-afff-01f464e0362d;838169.3725999966;6393346.702300001;4.741929492429903;44.6254990348271;44.6254990348271, 4.741929492429903;44.6254990348065, 4.741929492429905;"{""coordinates"": [4.741929492429905, 44.6254990348065], ""type"": ""Point""}"
St-Julien (Côtes-d'Armor);475606;1;481+640;51eb1022-6665-11e3-afff-01f464e0362d;272348.33839999884;6833833.9276;-2.789964481138445;48.46359984646223;48.46359984646223, -2.789964481138445;48.46359984643814, -2.78996448113845;"{""coordinates"": [-2.78996448113845, 48.46359984643814], ""type"": ""Point""}"
Pontarlier;874000;1;002+118;14def4e2-a761-11eb-97ff-01a0b2273146;954367.4527999982;6650558.093600001;6.342764578398414;46.906744077145945;46.906744077145945, 6.3427645783984135;46.90674407713185, 6.342764578398415;"{""coordinates"": [6.342764578398415, 46.90674407713185], ""type"": ""Point""}"
Barberey-St-Sulpice;006000;3;090+470;51e75d74-6665-11e3-afff-01f464e0362d;777212.7201000005;6802064.957899999;4.041514354348706;48.31432440885022;48.31432440885022, 4.041514354348706;48.31432440884022, 4.041514354348707;"{""coordinates"": [4.041514354348707, 48.31432440884022], ""type"": ""Point""}"
St-Ours-les-Roches;711000;1;475+160;51e262b8-6665-11e3-afff-01f464e0362d;692823.7498999983;6526283.5304999985;2.907550369659472;45.836159672455814;45.836159672455814, 2.9075503696594716;45.836159672438605, 2.907550369659471;"{""coordinates"": [2.907550369659471, 45.836159672438605], ""type"": ""Point""}"
Ambérieu;883000;1;064+899;51e14da8-6665-11e3-afff-01f464e0362d;881473.8884000033;6544868.1000000015;5.344299763350519;45.979290267930295;45.979290267930295, 5.344299763350519;45.97929026791348, 5.344299763350521;"{""coordinates"": [5.344299763350521, 45.97929026791348], ""type"": ""Point""}"
