IDRESEAU;LIBELLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;GARE;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
73124;Faisceau Plateau Peugeot Poissy;340000;1;024+171;51e34da6-6665-11e3-afff-01f464e0362d;Poissy;631139.8139000013;6871706.1961;2.059958190408376;48.941636631457996;48.941636631457996, 2.0599581904083757;48.941636631436374, 2.0599581904083752;"{""coordinates"": [2.059958190408375, 48.941636631436374], ""type"": ""Point""}"
153424;Faisceau Impair;020000;1;263+014;51f0b774-6665-11e3-afff-01f464e0362d;Joinville;858810.6327000037;6818640.318300001;5.147858008858285;48.44859660750481;48.44859660750481, 5.147858008858285;48.448596607480646, 5.147858008858287;"{""coordinates"": [5.147858008858287, 48.448596607480646], ""type"": ""Point""}"
156893;Faisceau pair 4 à 6;631000;1;609+495;cef6d5a8-dfb5-11e3-8eff-01a464e0362d;Monsempron-Libos;535798.0256000012;6378083.988899998;0.935041133691318;44.482489505181945;44.482489505181945, 0.9350411336913176;44.482489505160956, 0.935041133691316;"{""coordinates"": [0.935041133691316, 44.482489505160956], ""type"": ""Point""}"
127992;Dépôt;784000;1;003+258;51e60f6a-6665-11e3-afff-01f464e0362d;Clermont-Ferrand;710658.4905000031;6521437.366;3.137201808771969;45.79247485697094;45.79247485697094, 3.137201808771969;45.79247485695361, 3.137201808771969;"{""coordinates"": [3.137201808771969, 45.79247485695361], ""type"": ""Point""}"
156890;Faisceau pair 8 à 30;631000;1;557+675;cef6e10c-dfb5-11e3-8eff-01a464e0362d;Le Buisson;535017.8709999993;6418514.9989;0.911791534708914;44.84616873989041;44.84616873989041, 0.9117915347089137;44.84616873987039, 0.9117915347089122;"{""coordinates"": [0.911791534708912, 44.84616873987039], ""type"": ""Point""}"
85408;Faisceau Réception;081000;1;170+194;51e9c128-6665-11e3-afff-01f464e0362d;Châlons-en-Champagne;798515.5217000023;6874049.524700001;4.345358784134244;48.95884770132301;48.95884770132301, 4.345358784134244;48.95884770130147, 4.345358784134246;"{""coordinates"": [4.345358784134246, 48.95884770130147], ""type"": ""Point""}"
128419;Faisceau Les Bordes (pair);687000;1;161+562;51e7bf8c-6665-11e3-afff-01f464e0362d;Les Bordes;654788.7502000034;6746082.6351;2.395904150799699;47.81358188184123;47.81358188184123, 2.3959041507996988;47.81358188182979, 2.395904150799698;"{""coordinates"": [2.395904150799698, 47.81358188182979], ""type"": ""Point""}"
157047;Faisceau pair 4 à 12;002000;1;071+470;cef74652-dfb5-11e3-8eff-01a464e0362d;Coulommiers;705897.7080999985;6856496.796300001;3.080304909080676;48.808516850313936;48.808516850313936, 3.0803049090806764;48.80851685029163, 3.0803049090806764;"{""coordinates"": [3.080304909080676, 48.80851685029163], ""type"": ""Point""}"
156965;Faisceau impair 3 à 13;655000;1;075+025;cef64bca-dfb5-11e3-8eff-01a464e0362d;Ychoux;385412.49620000273;6367272.672800001;-0.94697425349617;44.33370615485962;44.33370615485962, -0.9469742534961695;44.333706154838225, -0.9469742534961718;"{""coordinates"": [-0.946974253496172, 44.333706154838225], ""type"": ""Point""}"
154399;Faisceau pair;525000;1;122+723;51ecbc24-6665-11e3-afff-01f464e0362d;Bressuire;433649.85909999907;6643624.937100001;-0.496002235976581;46.83970769457768;46.83970769457768, -0.4960022359765811;46.839707694563394, -0.4960022359765839;"{""coordinates"": [-0.496002235976584, 46.839707694563394], ""type"": ""Point""}"
