IDRESEAU;LIBELLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
85559;Thionville;180000;2;189+135;51e89d32-6665-11e3-afff-01f464e0362d;930989.5218999982;6922611.207600001;6.179773178772781;49.361171862171005;49.361171862171005, 6.1797731787727805;49.36117186215146, 6.179773178772782;"{""coordinates"": [6.179773178772782, 49.36117186215146], ""type"": ""Point""}"
70016;St-Jory;640000;1;244+596;51e74396-6665-11e3-afff-01f464e0362d;570140.9632999972;6290924.750399999;1.389148284979684;43.70543197772738;43.70543197772738, 1.3891482849796843;43.70543197770439, 1.3891482849796832;"{""coordinates"": [1.389148284979683, 43.70543197770439], ""type"": ""Point""}"
70013;Triage Sotteville;340000;1;130+460;51e706cc-6665-11e3-afff-01f464e0362d;562608.9363999963;6922254.457199998;1.108148444421939;49.384981341903476;49.384981341903476, 1.1081484444219385;49.38498134188404, 1.108148444421937;"{""coordinates"": [1.108148444421937, 49.38498134188404], ""type"": ""Point""}"
133531;Reims;081000;1;222+700;51e9bb64-6665-11e3-afff-01f464e0362d;777151.8620999977;6908553.939399999;4.059974572866516;49.271967059673706;49.271967059673706, 4.0599745728665155;49.271967059653726, 4.059974572866516;"{""coordinates"": [4.059974572866516, 49.271967059653726], ""type"": ""Point""}"
70014;Bordeaux-Hourcade;640000;1;003+950;51e7b4b0-6665-11e3-afff-01f464e0362d;419082.90110000223;6416546.639199998;-0.552925679048008;44.79117939818931;44.79117939818931, -0.5529256790480076;44.791179398169156, -0.5529256790480092;"{""coordinates"": [-0.552925679048009, 44.791179398169156], ""type"": ""Point""}"
156508;Marseille Maritime;939001;1;857+450;cef425ea-dfb5-11e3-8eff-01a464e0362d;891395.5169999972;6250397.7157000005;5.35879173037013;43.32700214634651;43.32700214634651, 5.35879173037013;43.327002146322606, 5.358791730370132;"{""coordinates"": [5.358791730370132, 43.327002146322606], ""type"": ""Point""}"
72945;Mézidon;430000;1;143+085;51e76272-6665-11e3-afff-01f464e0362d;474814.8269999996;6890101.130899999;-0.082492401332514;49.0712012920236;49.0712012920236, -0.08249240133251362;49.07120129200261, -0.08249240133251641;"{""coordinates"": [-0.082492401332516, 49.07120129200261], ""type"": ""Point""}"
132513;Ambérieu;883306;1;000+365;51e2d4f4-6665-11e3-afff-01f464e0362d;882175.3022999987;6542214.2250000015;5.352334345435672;45.955215072757376;45.955215072757376, 5.352334345435672;45.955215072740515, 5.352334345435674;"{""coordinates"": [5.352334345435674, 45.955215072740515], ""type"": ""Point""}"
87135;Triage impaire de Soquence;341116;1;000+691;51e838b4-6665-11e3-afff-01f464e0362d;496574.3950999975;6937392.914000001;0.192094928924615;49.50332678065663;49.50332678065663, 0.19209492892461486;49.503326780637764, 0.19209492892461286;"{""coordinates"": [0.192094928924613, 49.503326780637764], ""type"": ""Point""}"
70023;Metz-Sablon;140000;1;152+145;51e0c32e-6665-11e3-afff-01f464e0362d;931831.5109999999;6892782.934999999;6.174850782692462;49.09292812493339;49.09292812493339, 6.174850782692462;49.09292812491251, 6.174850782692464;"{""coordinates"": [6.174850782692464, 49.09292812491251], ""type"": ""Point""}"
70014;Bordeaux-Hourcade;640000;1;005+142;51e7b4b0-6665-11e3-afff-01f464e0362d;419169.2270999998;6415350.1954;-0.551155260591062;44.78045348618944;44.78045348618944, -0.5511552605910623;44.780453486169236, -0.5511552605910643;"{""coordinates"": [-0.551155260591064, 44.780453486169236], ""type"": ""Point""}"
133511;Grenoble;905000;1;128+726;51e9b7f8-6665-11e3-afff-01f464e0362d;912508.3980000019;6459976.284000002;5.707326943361545;45.206316297467346;45.206316297467346, 5.707326943361545;45.20631629744833, 5.707326943361546;"{""coordinates"": [5.707326943361546, 45.20631629744833], ""type"": ""Point""}"
131911;Badan;750000;1;541+087;51e24a08-6665-11e3-afff-01f464e0362d;839610.7358999997;6502068.471900001;4.791182126960345;45.60388487301633;45.60388487301633, 4.791182126960345;45.60388487299844, 4.791182126960347;"{""coordinates"": [4.791182126960347, 45.60388487299844], ""type"": ""Point""}"
132524;Dunkerque;304000;1;005+290;51dfb51a-6665-11e3-afff-01f464e0362d;652929.626699999;7101469.888799999;2.330823062992522;51.007227805303;51.007227805303, 2.330823062992522;51.00722780529093, 2.3308230629925215;"{""coordinates"": [2.330823062992522, 51.00722780529093], ""type"": ""Point""}"
133534;St-Jean-de-Maurienne-Arvan;900000;1;208+146;51e9b9ba-6665-11e3-afff-01f464e0362d;963016.8672000021;6469823.091400001;6.355426230320451;45.27745971049978;45.27745971049978, 6.355426230320451;45.27745971048097, 6.355426230320454;"{""coordinates"": [6.355426230320454, 45.27745971048097], ""type"": ""Point""}"
70016;St-Jory;640000;1;246+780;51e74396-6665-11e3-afff-01f464e0362d;570940.9773000032;6288883.401799999;1.399582586998012;43.6872136346381;43.6872136346381, 1.399582586998012;43.68721363461507, 1.399582586998011;"{""coordinates"": [1.399582586998011, 43.68721363461507], ""type"": ""Point""}"
70006;Mulhouse-Nord;125000;1;001+382;51e7b8dc-6665-11e3-afff-01f464e0362d;1021574.2981999964;6747880.772700001;7.293909932889505;47.75260918508867;47.75260918508867, 7.293909932889505;47.752609185077056, 7.293909932889508;"{""coordinates"": [7.293909932889508, 47.752609185077056], ""type"": ""Point""}"
